Country,GDP_USD_billion
United States,26854599.0
China,19373586.0
Japan,4409738.0
Germany,4308854.0
India,3736882.0
United Kingdom,3158938.0
France,2923489.0
Italy,2169745.0
Canada,2089672.0
Brazil,2081235.0
Russia,2062649.0
South Korea,1721909.0
Australia,1707548.0
Mexico,1663164.0
Spain,1492432.0
Indonesia,1391778.0
Netherlands,1080880.0
Saudi Arabia,1061902.0
Turkey,1029303.0
Switzerland,869601.0
Taiwan,790728.0
Poland,748887.0
Argentina,641102.0
Belgium,624248.0
Sweden,599052.0
Ireland,594095.0
Thailand,574231.0
Norway,554105.0
Israel,539223.0
Singapore,515548.0
Austria,515199.0
Nigeria,506601.0
United Arab Emirates,498978.0
Vietnam,449094.0
Malaysia,447026.0
Philippines,440901.0
Bangladesh,420516.0
Denmark,405626.0
South Africa,399015.0
Hong Kong,382854.0
Egypt,378110.0
Iran,367970.0
Chile,358557.0
Romania,348902.0
Colombia,334689.0
Czech Republic,330483.0
Finland,301670.0
Peru,268235.0
Iraq,267893.0
Portugal,267721.0
New Zealand,251969.0
Kazakhstan,245695.0
Greece,239300.0
Qatar,219570.0
Algeria,206007.0
Hungary,188505.0
Kuwait,164713.0
Ethiopia,156083.0
Ukraine,148712.0
Morocco,138781.0
Slovakia,127533.0
Ecuador,121291.0
Dominican Republic,121289.0
Puerto Rico,120838.0
Kenya,118130.0
Angola,117877.0
Oman,104902.0
Guatemala,102309.0
Bulgaria,100635.0
Venezuela,96628.0
Uzbekistan,92332.0
Luxembourg,86971.0
Tanzania,85421.0
Turkmenistan,82649.0
Croatia,78881.0
Lithuania,78346.0
Costa Rica,77777.0
Uruguay,77313.0
Panama,77257.0
Ivory Coast,77047.0
Serbia,73961.0
Belarus,73543.0
Azerbaijan,70030.0
DR Congo,69474.0
Slovenia,68108.0
Ghana,66622.0
Myanmar,63988.0
Jordan,52061.0
Tunisia,49815.0
Uganda,49792.0
Cameroon,48625.0
Latvia,47398.0
Sudan,46705.0
Libya,46297.0
Bolivia,46097.0
Bahrain,44870.0
Paraguay,42820.0
Nepal,42097.0
Estonia,41551.0
Macau,35841.0
El Salvador,33752.0
Honduras,32860.0
Papua New Guinea,31362.0
Senegal,31221.0
Cyprus,30864.0
Cambodia,30628.0
Zimbabwe,29931.0
Zambia,29272.0
Iceland,28625.0
Bosnia and Herzegovina,28488.0
Trinidad and Tobago,28223.0
Georgia,27947.0
Haiti,26580.0
Armenia,23725.0
Guinea,23330.0
Burkina Faso,21076.0
Mali,20776.0
Gabon,20330.0
Albania,20177.0
Mozambique,19909.0
Palestine,19206.0
Botswana,19572.0
Yemen,19529.0
Malta,19405.0
Benin,19236.0
Nicaragua,17287.0
Jamaica,17254.0
Mongolia,16908.0
Niger,16617.0
Guyana,16309.0
Brunei,15988.0
Madagascar,15969.0
Moldova,15829.0
North Macedonia,15278.0
Equatorial Guinea,15099.0
Mauritius,14570.0
Bahamas,14114.0
Laos,14091.0
Namibia,13486.0
Rwanda,13149.0
Congo,13031.0
Tajikistan,12796.0
Kyrgyzstan,12309.0
Chad,11962.0
Malawi,11277.0
Mauritania,10966.0
Kosovo,9990.0
Togo,9001.0
Somalia,8738.0
Montenegro,7027.0
South Sudan,7012.0
Maldives,7004.0
Barbados,6117.0
Fiji,5385.0
Eswatini,4824.0
Liberia,4375.0
Djibouti,3916.0
Andorra,3669.0
Aruba,3633.0
Sierra Leone,3520.0
Suriname,3470.0
Burundi,3234.0
Belize,3162.0
Central African Republic,2736.0
Bhutan,2683.0
Eritrea,2666.0
Lesotho,2584.0
Cape Verde,2468.0
Gambia,2277.0
Saint Lucia,2262.0
East Timor,1988.0
Seychelles,1950.0
Guinea-Bissau,1887.0
Antigua and Barbuda,1864.0
San Marino,1807.0
Solomon Islands,1701.0
Comoros,1348.0
Grenada,1274.0
Vanuatu,1064.0
Saint Kitts and Nevis,1052.0
Saint Vincent and the Grenadines,1039.0
Samoa,898.0
Dominica,681.0
São Tomé and Príncipe,625.0
Tonga,541.0
Micronesia,456.0
Marshall Islands,291.0
Palau,262.0
Kiribati,248.0
Nauru,151.0
Tuvalu,65.0
